"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","FBgn0000043",31162.0800981548,0.577523435568021,0.125750260948771,5.05403284025591e-07,1.72396374301024e-05
"2","FBgn0000071",342.2384071951,2.65494056602903,0.18360153004925,9.50816942565446e-49,8.79294379219134e-46
"3","FBgn0000116",658.392246950606,1.23596805345471,0.19361042620955,1.07685748049668e-11,8.61796616362869e-10
"4","FBgn0000146",1576.30641475813,0.459481231524418,0.100935928693583,8.67435323365875e-07,2.86013004527635e-05
"5","FBgn0000299",50847.6179108074,0.590668853978641,0.135741915675165,1.59886549615152e-06,4.9840290353817e-05
"6","FBgn0000406",265.508207219706,-1.95400511283828,0.286228113314389,3.48649910103813e-13,3.45453952594528e-11
"7","FBgn0000416",38598.4010589658,-0.35097888538756,0.0761804395150101,9.94019509070606e-07,3.23172827109166e-05
"8","FBgn0000567",261.177919822776,-1.17601961375411,0.172310429213161,4.28163643626151e-13,4.09609885735684e-11
"9","FBgn0001124",1265.56387631098,0.64736149194569,0.115933872876616,2.391507604255e-09,1.31817998610691e-07
"10","FBgn0001137",494.057862333951,-1.21364389541362,0.163890691493193,7.88086217981511e-15,1.02488149879064e-12
"11","FBgn0001224",598.924195179851,1.45873725560002,0.14477274860943,4.41390566541863e-25,1.36062729086219e-22
"12","FBgn0001225",420.296785851059,1.31477837257376,0.15280567264291,4.58868464045222e-19,9.09324339582948e-17
"13","FBgn0001226",1323.88502751031,1.67881144649248,0.188203821438387,2.85595369004517e-20,5.94252564056149e-18
"14","FBgn0001258",1520.17422079885,0.909405944596435,0.123575181028919,1.4840886097005e-14,1.84359246246825e-12
"15","FBgn0001332",1154.74632593001,-0.482482701770772,0.101519542252969,2.80377295448664e-07,1.01903066813067e-05
"16","FBgn0002527",37820.8447269353,-0.725694497897642,0.0975785738758915,8.58366344223602e-15,1.09910508968816e-12
"17","FBgn0002778",1195.49551398941,-0.614270254421311,0.144978064921887,2.1236398914432e-06,6.42729266053881e-05
"18","FBgn0002868",100.134853725014,-2.0538224717443,0.290632169737371,9.93809722924029e-14,1.07421796414243e-11
"19","FBgn0003074",2163.30369517341,0.607012572906255,0.11566585999472,1.68535505447479e-08,7.83643023373949e-07
"20","FBgn0003076",1498.63736847875,0.686858235901873,0.103113376403326,2.67324824898085e-12,2.29375723466676e-10
"21","FBgn0003137",4518.86099683279,0.898755594318887,0.0999822640417823,2.03516408981193e-20,4.3432489024371e-18
"22","FBgn0003317",1351.15641536419,0.508069292951583,0.10283467365208,1.09716420595454e-07,4.36923334266012e-06
"23","FBgn0003360",4343.03539692487,-3.16649470559474,0.143878559683761,9.56283063533262e-109,1.98978598444683e-105
"24","FBgn0003447",36.3045953546084,1.86554304530933,0.343232813662829,3.15853980167723e-09,1.69603398511997e-07
"25","FBgn0003501",277.455454354175,2.1238420217257,0.181687110306176,8.87810621151278e-33,4.34661635284829e-30
"26","FBgn0003502",1202.90340589069,0.703414515627283,0.104916236005894,1.93996007586572e-12,1.71769018206706e-10
"27","FBgn0003525",1371.18050801775,-0.641483471417464,0.139314420341394,3.74245693694001e-07,1.31428139604016e-05
"28","FBgn0003748",1095.96898175689,1.05280788703224,0.108374757981575,2.05432718234306e-23,5.69938837954709e-21
"29","FBgn0004108",660.396760300009,0.783045826770396,0.166454479036226,1.98695878162448e-07,7.5859898804865e-06
"30","FBgn0004369",833.206490963162,-0.75083153423971,0.127441628761217,3.05120118627139e-10,1.89516025920424e-08
"31","FBgn0004396",2423.42112765343,1.01034296316511,0.199342366744502,2.79616517707391e-08,1.25797204155601e-06
"32","FBgn0004507",1829.85370947088,0.858343133941374,0.167107507963931,2.13889922372197e-08,9.78135068079007e-07
"33","FBgn0004893",479.324073607467,-0.782897880444322,0.128437890923387,8.17567888908443e-11,5.62365085899584e-09
"34","FBgn0005640",1577.77681384373,0.632819375485699,0.117284622719741,7.15234857831717e-09,3.60781801317175e-07
"35","FBgn0005660",145.958617557085,0.969016098536654,0.213625769877878,3.43719296193341e-07,1.21219309415982e-05
"36","FBgn0010097",108.554720943388,0.953219379054894,0.231565653605014,2.37051900161918e-06,7.04636773231301e-05
"37","FBgn0010223",65.4057051830563,-1.3476222344486,0.260129514187626,1.26573941287723e-08,5.9856529166916e-07
"38","FBgn0010225",12820.9306661221,-0.462215235158478,0.0947537274431205,1.60422496139472e-07,6.21021597845967e-06
"39","FBgn0010470",4778.27905142065,0.475362217485736,0.0960098460073344,1.1648481110131e-07,4.59480134026638e-06
"40","FBgn0010591",1635.86351148071,-0.630246100867103,0.106541913411485,3.13144577715378e-10,1.93059431135192e-08
"41","FBgn0011260",211.128216078428,1.97256953248586,0.282413198734826,2.12372650973917e-13,2.20947196756989e-11
"42","FBgn0011274",777.072886538848,-0.708858831902816,0.143996172422865,6.98676832868254e-08,2.93742632281165e-06
